message , duration
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 14
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 14
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 14
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 17
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 14
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 18
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 14
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 14
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 14
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 17
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 17
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:31 T00 12-11 22:17 +24 C PSTOP , 19
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 17
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 14
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 14
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 14
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 26
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 17
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 22
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 18
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:32 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 17
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 17
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 19
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 17
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:33 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 14
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 14
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 17
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 21
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 18
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 17
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 19
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 14
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 14
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 14
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 16
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
PSTART 12-11-2020 22:51:34 T00 12-11 22:17 +24 C PSTOP , 15
